Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:06:48][notice]Prepare to zip file. file: grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03.part004.sql
[2025-12-01 19:06:50][notice]Adding zip files completed.grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_db.part001.zip, filesize: 80,92 MB
[2025-12-01 19:06:50][notice]Compressing database completed
[2025-12-01 19:06:50][notice]Backing up backup_db completed.
[2025-12-01 19:06:50][notice]Prepare to backup backup_themes files.
[2025-12-01 19:06:50][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_themes.part001.zip index:5186
[2025-12-01 19:06:57][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_themes.part001.zip success. index:5186 file size:23,90 MB
[2025-12-01 19:06:57][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_themes.part002.zip index:6140
[2025-12-01 19:06:58][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_themes.part002.zip success. index:6140 file size:4,08 MB
[2025-12-01 19:06:58][notice]Backing up backup_themes completed.
[2025-12-01 19:06:58][notice]Prepare to backup backup_plugin files.
[2025-12-01 19:06:58][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_plugin.part001.zip index:10905
[2025-12-01 19:07:12][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_plugin.part001.zip success. index:10905 file size:59,24 MB
[2025-12-01 19:07:12][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_plugin.part002.zip index:23995
[2025-12-01 19:07:20][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_plugin.part002.zip success. index:23995 file size:39,90 MB
[2025-12-01 19:07:20][notice]Backing up backup_plugin completed.
[2025-12-01 19:07:20][notice]Prepare to backup backup_uploads files.
[2025-12-01 19:07:25][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part001.zip index:2277
[2025-12-01 19:07:38][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part001.zip success. index:2277 file size:173,64 MB
